epoch,capsnet_accuracy,capsnet_loss,decoder_loss,loss,val_capsnet_accuracy,val_capsnet_loss,val_decoder_loss,val_loss
0,0.527373731136322,0.40504202246665955,0.04139839485287666,0.42126983404159546,0.4038636386394501,0.40461888909339905,0.0373324491083622,0.4192532002925873
1,0.555878758430481,0.4045158326625824,0.04167942702770233,0.4208548367023468,0.40381819009780884,0.40496528148651123,0.037365324795246124,0.4196126461029053
2,0.6217020153999329,0.23738841712474823,0.044155530631542206,0.25469738245010376,0.7768636345863342,0.14562413096427917,0.04220986366271973,0.1621703952550888
3,0.7872323393821716,0.1325504332780838,0.040645282715559006,0.14848347008228302,0.7956363558769226,0.12815123796463013,0.038574982434511185,0.14327259361743927
4,0.7956767678260803,0.12761233747005463,0.03897213190793991,0.14288946986198425,0.7940454483032227,0.1271883249282837,0.0391770601272583,0.14254578948020935
5,0.8016969561576843,0.12392029911279678,0.03846503049135208,0.13899870216846466,0.806181788444519,0.1241113469004631,0.03786160424351692,0.1389531046152115
6,0.8066969513893127,0.12070214748382568,0.03808251768350601,0.13563036918640137,0.8061363697052002,0.12368252873420715,0.03763771057128906,0.13843649625778198
7,0.8111767768859863,0.11770699173212051,0.03789668530225754,0.1325625628232956,0.8016818165779114,0.12624439597129822,0.03805609792470932,0.14116238057613373
8,0.8141363859176636,0.11548345535993576,0.03765317052602768,0.1302436888217926,0.8042727112770081,0.12468047440052032,0.037492744624614716,0.139377623796463
9,0.817252516746521,0.11305318027734756,0.03758901357650757,0.12778790295124054,0.8089545369148254,0.12320959568023682,0.0383518747985363,0.13824352622032166
10,0.8213585615158081,0.11047094315290451,0.037396010011434555,0.12513017654418945,0.791772723197937,0.1316213607788086,0.037842120975255966,0.14645548164844513
11,0.826898992061615,0.1080351248383522,0.037075579166412354,0.12256879359483719,0.8089091181755066,0.12190377712249756,0.03714269772171974,0.13646367192268372
12,0.8296818137168884,0.10587607324123383,0.03680340200662613,0.12030291557312012,0.8136363625526428,0.1182444840669632,0.0371578224003315,0.1328103095293045
13,0.833853542804718,0.10367970913648605,0.03663072735071182,0.11803864687681198,0.8157272934913635,0.11920557916164398,0.03655146062374115,0.133533775806427
14,0.8381666541099548,0.10158225893974304,0.036549653857946396,0.11590966582298279,0.8172272443771362,0.11690840125083923,0.03644293546676636,0.13119404017925262
