epoch,capsnet_accuracy,capsnet_loss,decoder_loss,loss,val_capsnet_accuracy,val_capsnet_loss,val_decoder_loss,val_loss
0,0.7762373685836792,0.13522350788116455,0.03931499645113945,0.3163869082927704,0.834636390209198,0.10671915858983994,0.03551759943366051,0.270384281873703
1,0.8431565761566162,0.10081077367067337,0.03523062542080879,0.263153076171875,0.8634999990463257,0.08858665078878403,0.034932445734739304,0.24955539405345917
2,0.8718788027763367,0.08399409800767899,0.03460998460650444,0.24347712099552155,0.8833181858062744,0.07643786817789078,0.03438970074057579,0.23490563035011292
3,0.8915959596633911,0.07179328054189682,0.0342429019510746,0.2295844405889511,0.8904091119766235,0.071659155189991,0.03410562500357628,0.22881785035133362
4,0.9134091138839722,0.058861471712589264,0.03393903374671936,0.21525245904922485,0.902999997138977,0.0650549978017807,0.033837612718343735,0.22097867727279663
5,0.9350959658622742,0.04634666442871094,0.03369668126106262,0.20162130892276764,0.9105908870697021,0.06298266351222992,0.03362881392240524,0.21794429421424866
6,0.9555404186248779,0.03350639343261719,0.03354347124695778,0.18807494640350342,0.9198181629180908,0.0579242929816246,0.033643726259469986,0.21295461058616638
7,0.9712121486663818,0.023409560322761536,0.03343658149242401,0.1774854212999344,0.9171817898750305,0.060173399746418,0.03353582322597504,0.21470654010772705
8,0.9818737506866455,0.01573549211025238,0.03324900195002556,0.16894713044166565,0.9209545254707336,0.058597344905138016,0.03325945883989334,0.21185696125030518
9,0.9890303015708923,0.010541323572397232,0.03308681398630142,0.16300520300865173,0.9134091138839722,0.06463803350925446,0.033497363328933716,0.21899378299713135
10,0.9928283095359802,0.007338095922023058,0.0329553484916687,0.15919627249240875,0.9177727103233337,0.061014726758003235,0.03316729888319969,0.21384954452514648
11,0.9950656294822693,0.005207844544202089,0.03284056484699249,0.15653733909130096,0.9058181643486023,0.07151547074317932,0.033289339393377304,0.22491291165351868
12,0.9959747195243835,0.004138890188187361,0.03273291140794754,0.154972106218338,0.9174090623855591,0.06267738342285156,0.03313729912042618,0.2153741717338562
13,0.9965454339981079,0.003327192272990942,0.03264201804995537,0.15374158322811127,0.9174090623855591,0.06280285865068436,0.03307317942380905,0.21520403027534485
14,0.9969242215156555,0.0026677348650991917,0.03256182000041008,0.15271267294883728,0.9198636412620544,0.06066853925585747,0.03295306861400604,0.2125162035226822
15,0.997146487236023,0.0023276093415915966,0.03250281512737274,0.15210038423538208,0.9190000295639038,0.06132024526596069,0.03304450958967209,0.21358941495418549
16,0.9972525238990784,0.002006270457059145,0.03245040774345398,0.15153777599334717,0.9194545745849609,0.060512274503707886,0.03296121954917908,0.21239763498306274
17,0.9973787665367126,0.0017963062273338437,0.03241114690899849,0.15114660561084747,0.9203636646270752,0.059649381786584854,0.03300812095403671,0.21175076067447662
18,0.9974343180656433,0.0016289417399093509,0.0323750302195549,0.15081320703029633,0.9215454459190369,0.059198226779699326,0.03298921883106232,0.21121244132518768
19,0.997464656829834,0.0015042040031403303,0.032345835119485855,0.1505536288022995,0.9209091067314148,0.059710677713155746,0.0329609140753746,0.2115945965051651
