epoch,capsnet_accuracy,capsnet_loss,decoder_loss,loss,val_capsnet_accuracy,val_capsnet_loss,val_decoder_loss,val_loss
0,0.7727676630020142,0.13918474316596985,0.04944754019379616,0.15856818854808807,0.821681797504425,0.11373448371887207,0.04204201325774193,0.13021494448184967
1,0.8440050482749939,0.10058091580867767,0.03973807767033577,0.11615834385156631,0.8608182072639465,0.0892789214849472,0.0396893136203289,0.1048370823264122
2,0.8700000047683716,0.0847700759768486,0.039039697498083115,0.10007376223802567,0.8687272667884827,0.08454961329698563,0.038328059017658234,0.09957417100667953
3,0.8913030028343201,0.07225421816110611,0.037873562425374985,0.08710064738988876,0.8860909342765808,0.07535449415445328,0.037830617278814316,0.09018412232398987
4,0.9193333387374878,0.055978402495384216,0.03702964633703232,0.07049401849508286,0.8990908861160278,0.06961123645305634,0.03659619390964508,0.08395697176456451
5,0.9454848766326904,0.040062397718429565,0.036549199372529984,0.05438965931534767,0.9081818461418152,0.06446054577827454,0.03663177415728569,0.07882019877433777
6,0.9660050272941589,0.026908429339528084,0.036236174404621124,0.04111302271485329,0.9052727222442627,0.06707210838794708,0.036438703536987305,0.08135608583688736
7,0.9789596199989319,0.017722230404615402,0.03585319221019745,0.03177668899297714,0.9055454730987549,0.07106059044599533,0.03574228286743164,0.08507157862186432
8,0.986232340335846,0.01221850048750639,0.03557823598384857,0.026165181770920753,0.9063636660575867,0.07138176262378693,0.035952236503362656,0.08547504991292953
9,0.9910656809806824,0.008251262828707695,0.03534718602895737,0.022107355296611786,0.9017727375030518,0.0748799666762352,0.035622891038656235,0.08884415775537491
